pattern_id,phrase,category,risk_weight
P001,processing fee,upfront_fee,0.8
P002,advance payment,upfront_fee,0.8
P003,visa fee pehle,upfront_fee,0.85
P004,send money now,pressure_tactic,0.9
P005,offer will be cancelled,pressure_tactic,0.85
P006,limited time,pressure_tactic,0.6
P007,act now,pressure_tactic,0.6
P008,guaranteed job,unrealistic_claim,0.7
P009,no interview required,unrealistic_claim,0.75
P010,salary in dollars,unrealistic_claim,0.4
P011,whatsapp only,suspicious_channel,0.5
P012,western union,suspicious_channel,0.85
P013,easypaisa transfer,suspicious_channel,0.7
P014,dear applicant,generic_greeting,0.3
P015,congratulations you are selected,unrealistic_claim,0.6
